"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","645","test_excute[case_info0]","","2026-03-12","passed","2026-03-12","","2_base","",""
"","757","test_excute[case_info1]","","2026-03-12","passed","2026-03-12","","2_base","",""
